fault_name,expected_microservice,rank,num_with_same_score,,,,
verification-code_abort_1023,ts-verification-code-service,36,22,,,,
verification-code_cpu_1012,ts-verification-code-service,24,1,,,,
verification-code_cpu_1016,ts-verification-code-service,15,1,,,,
verification-code_delay_1010,ts-verification-code-service,9,1,,,,
verification-code_delay_1014,ts-verification-code-service,4,1,,,,
verification-code_delay_1025,ts-verification-code-service,13,1,,,,
basic_delay_0414,basic,9,1,,,,
basic_delay_0420,basic,12,1,,,,
order-other_delay_0414,order,17,4,,,,
order-other_delay_0420,order,18,3,,,,
route_delay_0414,route,,,,,,
route_delay_0421,route,,,,,,
security_delay_0421,security,13,1,,,,
station_delay_0402,station,,,,,,
station_delay_0414,station,,,,,,
station_delay_0421,station,,,,,,
ticketinfo_delay_0414,ticketinfo,18,4,,,,
ticketinfo_delay_0421,ticketinfo,2,1,,,,
train_delay_0414,train,,,,,,
user_delay_0421,user,,,,,,
basic_delay_0415,basic,5,1,,,,
route_delay_0415,route,,,,,,
ticketinfo_delay_0402,ticketinfo,14,18,,,,
ticketinfo_delay_0430,ticketinfo,18,4,,,,
train_delay_0415,train,,,,,,
train_delay_0429,train,,,,,,
train_delay_0430,train,,,,,,
travel-plan_delay_0430,travel,8,1,,,,
travel_delay_0415,travel,7,1,,,,
user_delay_0430,user,,,,,,
